heightOfBoard,widthOfBoard,numberOfMine,seed,r0,c0,summonMode,iterateMode,sTime,msTime,solved3BV,total3BV,isHelped
16,30,99,1729328505,4,5,3,-2,60,60000,110,205,0
16,30,99,1729328554,6,6,3,-2,97,97000,169,187,0
16,30,99,1729328652,6,11,3,-2,46,46000,110,174,0
16,30,99,1729328702,6,8,3,-2,83,83000,174,178,0
16,30,99,1729328794,8,7,3,-2,40,40000,54,161,0
16,30,99,1729328840,7,11,3,-2,6,6000,15,157,0
16,30,99,1729328838,6,6,3,-2,91,91000,171,171,0
16,30,99,1729328934,5,10,3,-2,37,37000,77,173,0
16,30,99,1729328972,8,10,3,-2,16,16000,34,181,0
16,30,99,1729329009,4,6,3,-2,67,67000,149,185,0
16,30,99,1729329058,8,12,3,-2,40,40000,66,174,0
16,30,99,1729329108,3,7,3,-2,96,96000,186,190,0
16,30,99,1729329198,7,4,3,-2,8,8000,24,187,0
16,30,99,1729329216,7,6,3,-2,84,84000,161,180,0
16,30,99,1729329291,8,12,3,-2,27,27000,50,132,0
16,30,99,1729329432,7,4,3,-2,96,96000,175,175,0
16,30,99,1729329593,8,5,3,-2,4,4000,4,200,0
16,30,99,1729329599,5,3,3,-2,79,79000,182,182,0
16,30,99,1729346650,6,6,3,-2,42,42000,60,210,0
16,30,99,1729346689,5,6,3,-2,1,1000,2,152,0
16,30,99,1729346695,4,4,3,-2,108,108000,203,203,0
16,30,99,1729346812,7,1,3,-2,45,45000,88,166,0
16,30,99,1729346865,8,4,3,-2,26,26000,65,196,0
16,30,99,1729346933,6,5,3,-2,100,100000,197,197,0
16,30,99,1729347037,4,7,3,-2,23,23000,52,166,0
16,30,99,1729347065,5,6,3,-2,84,84000,148,148,0
16,30,99,1729347172,4,4,3,-2,75,75000,132,132,0
16,30,99,1729347299,5,7,3,-2,87,87000,165,165,0
16,30,99,1729347400,6,2,3,-2,14,14000,31,167,0
16,30,99,1729347416,7,4,3,-2,82,82000,155,155,0
